date,State,cases,deaths,population,new_cases,new_deaths,cases_per_100k,deaths_per_100k,new_cases_per_100k,iso_3166_2_code,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,overall_pct_change,AREA_SQMI,White,IncomePerCap,Poverty,ChildPoverty,Service,Production,dem_gop_diff_16,FBFilterBubble
2020-02-15,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,US-VA,,2.0,2.0,3.0,4.0,0.0,0.0,1.8333333333333333,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-02-16,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,US-VA,,4.0,0.0,9.0,-1.0,0.0,0.0,2.0,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-02-17,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,US-VA,,8.0,2.0,41.0,-6.0,-27.0,6.0,4.0,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-02-18,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,US-VA,,1.0,2.0,22.0,4.0,3.0,0.0,5.333333333333333,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-02-19,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,US-VA,,2.0,2.0,6.0,3.0,2.0,0.0,2.5,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-02-20,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,US-VA,,-2.0,3.0,-7.0,1.0,1.0,2.0,-0.3333333333333333,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-02-21,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,US-VA,,-3.0,-7.0,-7.0,-2.0,-4.0,3.0,1.714285714285714,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-02-22,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,US-VA,,4.0,2.0,32.0,6.0,2.0,-1.0,2.523809523809524,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-02-23,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,US-VA,,5.0,3.0,43.0,7.0,2.0,-1.0,3.642857142857143,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-02-24,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,US-VA,,1.0,0.0,4.0,1.0,5.0,0.0,3.333333333333333,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-02-25,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,US-VA,,4.0,1.0,11.0,2.0,3.0,0.0,3.0714285714285716,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-02-26,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,US-VA,,7.0,4.0,7.0,6.0,2.0,-1.0,3.3095238095238098,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
